gene,score,organ
gene_931,0.0072627024624896,liver
gene_919,0.0069961219126252,liver
gene_590,0.0063001420120678,liver
gene_891,0.0062838022046578,liver
gene_826,0.0061900462940386,liver
gene_552,0.0059913469285568,liver
gene_831,0.0059465014131696,liver
gene_988,0.0058104858519252,liver
gene_819,0.0057465435821086,liver
gene_394,0.0056988945026333,liver
gene_294,0.0056690482541008,liver
gene_221,0.0056458880465545,liver
gene_65,0.0054875985480518,liver
gene_876,0.005486627749494,liver
gene_682,0.0054482841886755,liver
gene_11,0.0053536785891726,liver
gene_482,0.0053462884813172,liver
gene_202,0.0052814604123647,liver
gene_368,0.0052745609950332,liver
gene_359,0.0051817890097653,liver
gene_931,0.0031333170472872,heart
gene_919,0.0027626811301241,heart
gene_590,0.0027368595739307,heart
gene_202,0.0026419815413923,heart
gene_394,0.0026346317936952,heart
gene_462,0.0025894040759736,heart
gene_826,0.0025006485193054,heart
gene_819,0.0024570650375495,heart
gene_294,0.002456024182913,heart
gene_891,0.0024202755438772,heart
gene_100,0.002400419250721,heart
gene_670,0.0023982674219957,heart
gene_64,0.0023500190376379,heart
gene_226,0.0023196301723106,heart
gene_547,0.0022993211314658,heart
gene_831,0.002266173796601,heart
gene_998,0.0021754597991582,heart
gene_276,0.0021678146623694,heart
gene_205,0.0021271655887544,heart
gene_537,0.0021248249409293,heart
gene_919,0.0063488248703674,kidney
gene_931,0.0063443572809205,kidney
gene_464,0.0055302880515464,kidney
gene_294,0.0054591462049827,kidney
gene_202,0.0053550381027604,kidney
gene_444,0.0053538017706335,kidney
gene_630,0.0053525879617725,kidney
gene_998,0.0052642848779398,kidney
gene_394,0.0051921907517602,kidney
gene_682,0.0050135790155709,kidney
gene_891,0.0049660078216995,kidney
gene_100,0.0048789183503256,kidney
gene_910,0.0048594264404359,kidney
gene_333,0.0048574346373865,kidney
gene_291,0.0047945051302907,kidney
gene_368,0.0047700226728527,kidney
gene_908,0.0047258657317819,kidney
gene_537,0.0046795336991342,kidney
gene_670,0.0046774070833298,kidney
gene_462,0.0046533265355811,kidney
gene_931,0.0059933900596777,brain_cortex
gene_919,0.0055887991023241,brain_cortex
gene_891,0.0055458053310158,brain_cortex
gene_11,0.0055360350912563,brain_cortex
gene_819,0.0054651960037453,brain_cortex
gene_826,0.0052606305601979,brain_cortex
gene_998,0.0051534085261276,brain_cortex
gene_205,0.0050351009724194,brain_cortex
gene_135,0.0049333602049535,brain_cortex
gene_65,0.0048603646482279,brain_cortex
gene_757,0.0048468385568751,brain_cortex
gene_217,0.0047794804921068,brain_cortex
gene_670,0.0047716614484872,brain_cortex
gene_333,0.004654803222546,brain_cortex
gene_462,0.0046217962992013,brain_cortex
gene_464,0.0045642041003987,brain_cortex
gene_202,0.0044896152478304,brain_cortex
gene_547,0.0044093466899007,brain_cortex
gene_394,0.0042124662756877,brain_cortex
gene_478,0.0041850258811758,brain_cortex
